ticker,anndats,permno,surprise,surprise_quintile,beat,medest,actual_eps,numest,stdev,car_m1_p1,car_0_p30,car_0_p60,ann_year,sic_code,at,mkvalt,ni,mkcap_quintile,sector,revision_30d,revision_60d,dispersion,num_analysts,prior_surprise,prev_ann,days_since_last
HANS,2021-02-25,88031,-0.487012987012987,Large Miss,0,2.31,1.185,19.0,0.11,0.012994041534190037,0.04364121592881487,0.00253769338977472,2021,,,,,Q3,Unknown,0.0,0.004347826086956622,0.047619047619047616,19.0,-0.5,2020-02-27,364.0
HANS,2022-02-24,88031,-0.5038610038610039,Large Miss,0,2.59,1.285,18.0,0.02,0.016420381489268943,-0.02260933236311824,0.19881828047122752,2022,,,,,Q3,Unknown,0.0,0.0,0.007722007722007722,18.0,-0.487012987012987,2021-02-25,364.0
HANS,2023-02-28,88031,-0.5152173913043477,Large Miss,0,2.3,1.115,23.0,0.06,-0.017674489009318006,0.008172866822613756,0.10236371473521855,2023,,,,,Q3,Unknown,0.0,0.0,0.026086956521739132,23.0,-0.5038610038610039,2022-02-24,369.0
HAS,2010-02-08,52978,0.12727272727272718,Large Beat,1,2.2,2.48,14.0,0.05,0.11123395926011925,0.11302133628461442,0.16492999518100704,2010,3944.0,4093.226,6483.2869,397.752,Q1,Manufacturing,0.0,0.0,0.022727272727272728,14.0,,,
HAS,2011-02-07,52978,0.0436507936507936,Beat,1,2.52,2.63,12.0,0.06,0.01502680996682293,0.03012536059669535,0.03281183431460932,2011,3944.0,4130.774,4102.1383,385.367,Q1,Manufacturing,0.0,-0.06666666666666672,0.023809523809523808,12.0,0.12727272727272718,2010-02-08,364.0
HAS,2012-02-06,52978,0.014598540145985252,Inline,1,2.74,2.78,11.0,0.09,0.02078715831837985,-0.030197882501473594,0.010173284614633404,2012,3944.0,4325.387,4628.946,335.999,Q1,Manufacturing,0.0,-0.06164383561643826,0.03284671532846715,11.0,0.0436507936507936,2011-02-07,364.0
HAS,2013-02-07,52978,-0.020905923344947754,Miss,0,2.87,2.81,12.0,0.05,0.046795615190840634,0.11879339147572376,0.172084988129503,2013,3944.0,4402.267,7209.3356,286.198,Q1,Manufacturing,0.0,0.0034965034965035776,0.017421602787456445,12.0,0.014598540145985252,2012-02-06,367.0
HAS,2014-02-10,52978,-0.024137931034482703,Miss,0,2.9,2.83,14.0,0.02,0.02881332256987279,0.04769253996443701,0.0667605840535812,2014,3944.0,4532.142,6847.6847,415.93,Q1,Manufacturing,0.0,-0.0034364261168385673,0.006896551724137932,14.0,-0.020905923344947754,2013-02-07,368.0
HAS,2015-02-09,52978,-0.015625000000000083,Miss,0,3.2,3.15,11.0,0.12,0.09658571612064981,0.0767917952272077,0.24669906643573958,2015,3944.0,4720.717,8406.1912,451.838,Q1,Manufacturing,0.0,-0.0031152647975077217,0.0375,11.0,-0.024137931034482703,2014-02-10,364.0
HAS,2016-02-08,52978,0.02631578947368417,Beat,1,3.42,3.51,14.0,0.04,-0.013826204746615667,-0.04192280809206039,0.03366380450321782,2016,3944.0,5091.366,9683.8437,551.38,Q1,Manufacturing,0.0,0.0,0.011695906432748539,14.0,-0.015625000000000083,2015-02-09,364.0
HAS,2017-02-06,52978,0.08515815085158142,Beat,1,4.11,4.46,13.0,0.06,0.14647652770440334,0.17873043189352256,0.1647428667931523,2017,3944.0,5289.983,11311.2605,396.607,Q2,Manufacturing,0.0,-0.0024271844660193657,0.0145985401459854,13.0,0.02631578947368417,2016-02-08,364.0
HAS,2018-02-07,52978,0.09638554216867459,Large Beat,1,4.98,5.46,15.0,0.08,0.08305110500562884,-0.08805284839469507,-0.06899128919914999,2018,3944.0,5262.988,10247.9813,220.434,Q1,Manufacturing,0.0,-0.003999999999999915,0.01606425702811245,15.0,0.08515815085158142,2017-02-06,366.0
HAS,2019-02-08,52978,-0.08983451536643033,Miss,0,4.23,3.85,13.0,0.1,-0.016512860531513573,-0.09923603273439952,0.0598485216229756,2019,3944.0,8855.628,14454.1014,520.454,Q2,Manufacturing,0.0,-0.00936768149882884,0.02364066193853428,13.0,0.09638554216867459,2018-02-07,366.0
HAS,2020-02-11,52978,0.07651715039577837,Beat,1,3.79,4.08,16.0,0.15,-0.031733901379687235,-0.08669732011384113,-0.19329128135378282,2020,3944.0,10818.385,12843.6968,222.519,Q2,Manufacturing,0.0,-0.010443864229765022,0.039577836411609495,16.0,-0.08983451536643033,2019-02-08,368.0
HAS,2021-02-08,52978,0.038888888888888924,Beat,1,3.6,3.74,17.0,0.08,-0.07936713943801044,-0.005500099982818973,-0.02648095124891281,2021,3944.0,10037.8,14068.1334,428.7,Q2,Manufacturing,0.0,0.0,0.022222222222222223,17.0,0.07651715039577837,2020-02-11,363.0
HAS,2022-02-07,52978,0.08057851239669434,Beat,1,4.84,5.23,14.0,0.11,-0.03024526626253854,-0.05897527477254216,0.05421167264672255,2022,3944.0,9295.9,8430.4228,203.5,Q1,Manufacturing,0.0,0.0,0.022727272727272728,14.0,0.038888888888888924,2021-02-08,364.0
HAS,2023-02-16,52978,-0.04914529914529905,Miss,0,4.68,4.45,14.0,0.2,0.03287885806395252,-0.0622282347786014,0.09966520490919772,2023,3944.0,6540.9,7086.5663,-1489.3,Q1,Manufacturing,0.0,0.0,0.04273504273504274,14.0,0.08057851239669434,2022-02-07,374.0
HBAN,2010-01-22,42906,0.20671834625323005,Large Beat,1,-7.74,-6.14,11.0,1.21,0.15636662861276474,0.062272847083666205,0.17955506414274547,2010,6020.0,53819.642,5931.0015,312.347,Q1,Finance,0.0,0.0,0.15633074935400515,11.0,,,
HBAN,2011-01-20,42906,0.1250000000000001,Large Beat,1,0.24,0.27,18.0,0.06,-0.00870310165435606,-0.08470623928077636,-0.10199296503185207,2011,6020.0,54450.652,4745.5889,542.613,Q1,Finance,,0.0,0.25,18.0,0.20671834625323005,2010-01-22,363.0
HBAN,2012-01-19,42906,-0.016666666666666684,Miss,0,0.6,0.59,21.0,0.02,-0.030290688477985328,-0.07313802841942196,0.01218098759348174,2012,6020.0,56153.185,5385.5751,641.022,Q1,Finance,,0.0,0.03333333333333333,21.0,0.1250000000000001,2011-01-20,364.0
HBAN,2013-01-17,42906,0.02898550724637684,Beat,1,0.69,0.71,24.0,0.02,0.0458938343182842,0.04054005438121999,0.021823273673492682,2013,6020.0,59476.344,8018.793,638.741,Q1,Finance,0.0,0.0,0.028985507246376815,24.0,-0.016666666666666684,2012-01-19,364.0
HBAN,2014-01-16,42906,0.014084507042253534,Inline,1,0.71,0.72,24.0,0.01,-0.015587975151154176,-0.04361328581434987,-0.04088327351952137,2014,6020.0,66298.01,8536.5066,632.392,Q1,Finance,0.0,0.0,0.014084507042253521,24.0,0.02898550724637684,2013-01-17,364.0
HBAN,2015-01-22,42906,0.0,Inline,0,0.72,0.72,21.0,0.02,0.012786621606975412,0.09934550343392656,0.09485420554416435,2015,6020.0,71044.551,8791.9147,692.957,Q1,Finance,0.0,0.0,0.02777777777777778,21.0,0.014084507042253534,2014-01-16,371.0
HBAN,2016-01-21,42906,0.0,Inline,0,0.81,0.81,30.0,0.02,-0.051471398235600097,-0.039557941260561,-0.051386824415609156,2016,6020.0,99714.097,14352.7954,711.821,Q2,Finance,0.0,-0.012195121951219388,0.024691358024691357,30.0,0.0,2015-01-22,364.0
HBAN,2017-01-25,42906,-0.06944444444444435,Miss,0,0.72,0.67,17.0,0.04,0.056978563925466075,0.04440619348804509,-0.06870485983224062,2017,6020.0,104185.0,15608.7131,1186.0,Q2,Finance,0.0,0.0,0.05555555555555556,17.0,0.0,2016-01-21,370.0
HBAN,2018-01-23,42906,0.0,Inline,0,0.89,0.89,20.0,0.02,0.009604075912476917,0.05218746061030011,-0.036312197218509756,2018,6020.0,108781.0,12477.4626,1393.0,Q2,Finance,0.0,0.0,0.02247191011235955,20.0,-0.06944444444444435,2017-01-25,363.0
